BIOGRID_ID	IDENTIFIER_VALUE
107101	P02818
107102	P21810
107103	P13688
107104	Q93088
107105	Q96G01
108448	P25116
107107	Q13323
107108	O75626
107780	Q03060
122339	Q96C57
107111	Q13867
107112	P32302
107114	P30043
107115	Q01954
107116	P35226
107117	P13497
107118	P12643
107119	P12645
122360	P82933
107121	P22003
107122	P22004
107123	P18075
107124	P34820
117568	Q14C86
107129	P05423
107617	P54105
118978	Q6P5Z2
118979	Q9UJV8
107132	Q12983
116818	Q9UPT8
116808	Q14687
116802	Q14697
107136	P58012
107138	Q86WA6
107139	P17213
107140	P38398
107142	P51587
107144	Q07352
107145	P47974
107146	P32247
119532	Q9UBT6
107148	Q10588
107149	Q10589
107150	P35070
107151	P43251
107152	Q13886
107153	Q13887
107154	P20290
107159	P62324
107160	Q06187
107161	Q13410
107164	O43683
107166	O60566
107167	Q13895
107168	P30536
107169	Q07021
107171	P05155
107173	P02745
107174	P02746
107175	P02747
107176	P00736
107177	P09871
107178	P06681
107179	P01024
107180	Q16581
107181	P0C0L4
107182	P0C0L5
107182	P0C0L4
107183	P04003
107186	P20851
107189	P21730
107190	P13671
107191	P10643
107192	P07357
107193	P07358
107194	P07360
107196	P02748
107197	Q9UID3
107199	Q13405
107200	Q9UHR6
107202	Q15777
107203	Q9Y2G1
107204	P61165
107205	Q9Y4D2
119546	Q9UHH9
108218	P42892
107210	P53801
107211	O43822
107212	P56557
107213	O15442
107214	P00915
107215	P00918
107216	P07451
107217	P22748
107218	P35218
107220	P23280
107221	P43166
107223	Q16790
107224	O75493
107225	O43570
107227	O00555
121722	Q8IYD8
107229	Q13936
107230	Q01668
119554	B7ZAQ6
107232	O60840
107233	Q13698
120635	Q8NCD3
107235	P54289
107236	Q02641
107237	Q08289
107238	P54284
107239	O00305
107240	Q06432
107241	O43772
110855	Q16649
107244	P05937
107245	P22676
107246	P29377
107247	P01258
107247	P06881
107248	P10092
107250	P30988
110910	Q9NZN8
107252	P62158
110898	P16083
107261	P27482
107262	P27797
115370	O00429
115362	Q9NTJ3
115342	Q9Y2X0
118150	Q16763
118148	Q9UBQ5
107888	P07858
107908	P00167
107270	P49913
116712	Q9H3R0
116698	Q7Z5K2
107275	P20807
107277	Q9Y6Q1
107278	Q13938
116694	Q96AJ1
107280	P47755
116919	Q7Z460
116920	Q2PZI1
116925	Q96JC1
116928	Q8NF91
116932	O15042
107285	P42575
107288	P51878
107289	P55212
116936	O94927
116941	Q8N3X1
116947	Q6PKG0
107292	P55211
107293	Q92851
107294	P31415
107295	O14958
107296	P41180
107297	P04040
107305	Q03135
107306	P51636
107307	P56539
116948	Q96KQ4
107310	Q06455
116952	Q6UUV9
107314	P08185
107317	P23435
118841	Q8IWR0
107319	P16152
123250	Q5TEA6
107324	Q13939
107326	Q16773
107327	P06307
107328	P32238
107329	P32239
107330	O00522
107331	P20248
107332	P14635
120291	Q5SWX8
107334	P30279
120762	Q9NXG2
107338	P24864
120758	Q96BY6
107340	P51959
107341	Q16589
107342	P51946
107344	O60583
107346	P40227
107347	P06126
107349	P29017
107350	P15813
107352	P06729
126621	Q8WXR4
107354	P07766
107355	P09693
126553	Q6PEV8
107359	P06127
107360	O43866
107361	P30203
107362	P09564
107363	P01732
107364	P10966
107367	P08571
107368	P15391
107369	P11836
107370	Q96HJ5
107371	P20273
107372	P25063
107377	P26842
126504	Q8N4J0
107379	P33681
107380	P42081
107382	P32971
107384	O43699
107385	P28906
107386	P16671
107387	Q8WTV0
107388	Q14108
107389	P11049
107390	P28907
107391	P49961
107392	Q9Y5L3
126491	Q14CS0
126479	Q8NEZ2
107394	O75355
107395	O75356
107396	P25942
107397	P29965
107579	P12532
126402	Q8WVJ2
126398	Q96DR4
107399	Q08722
107400	P09326
107401	P19397
107403	P19256
107404	P13987
107405	P08962
107406	P34810
107407	Q07108
107409	P21854
126389	Q5F1R6
107411	P11912
126358	Q6PCB8
126301	Q8TCB7
107415	P48509
107416	P32320
126270	Q4VC31
119918	Q9NYK5
119872	P58511
119828	Q9NSI6
107424	Q99459
107427	Q12834
107429	P30305
116677	Q8N5D0
107432	P49427
107433	P60953
116654	Q9Y2H1
107437	P55283
107438	P33151
107439	P55285
107440	Q9ULB5
107441	P55286
107442	Q9ULB4
107443	Q9Y6N8
107445	P55289
107447	P55290
107448	P55291
107449	O75309
107450	Q12864
116638	Q96RV3
116634	Q9UKV3
107453	Q00526
107454	P11802
107455	Q00535
107456	Q00534
107458	P49336
107460	P38936
107461	P46527
107463	Q8N726
107463	P42771
107464	P42772
107465	P42773
107466	P55273
116867	Q9UPT5
107468	Q16878
107469	P51861
107470	Q01850
107472	Q15517
107473	P31358
107474	P47902
107475	Q99626
107476	O14627
107477	O14967
107478	P06731
107479	P49715
107480	P17676
107481	P49716
107482	Q15744
107483	P53567
107487	P49450
107488	P07199
107494	P23141
107495	Q12798
107496	P41208
107497	O15182
107498	P11597
107499	P23528
107502	P53634
107506	P13569
107507	P01215
107508	P01233
107510	P40198
107513	Q14002
107514	P31997
107515	O75871
107526	O15335
107527	O95199
107528	P28329
107529	P18754
107531	O14647
107534	P17516
120457	Q9BUK6
107537	O00409
120459	Q6PI48
107539	P05060
107540	P36222
107541	Q15782
107542	Q13231
107544	Q9Y259
119577	Q9Y3C8
107546	P26374
107547	P15882
107548	P52757
107550	P11229
107551	P08172
119580	Q9NYZ3
116589	P49903
107554	P08173
107555	P08912
107556	P02708
107557	Q15822
107558	P32297
107559	P43681
107561	P36544
107562	P11230
107563	P17787
107564	Q05901
107565	P30926
107566	Q07001
107567	Q04844
107568	P07510
107570	O60543
107574	Q9NSE2
107575	Q99426
107580	P17540
107581	Q13216
107582	P61024
107583	P33552
107588	P61966
121532	Q6NSJ0
107592	Q05315
107593	A8K7I4
107594	P35523
121530	Q9ULR3
119055	Q9NZN3
107597	P51793
119068	Q9P2S5
119072	Q9NZC9
107599	P51797
107601	P51800
107602	P51801
107603	P10909
107604	O00299
107605	O15247
107606	P49759
107607	P49760
107611	O14773
107612	Q13286
119102	P57678
107618	P04118
107619	O96005
107623	Q00610
107624	P23946
107635	P32246
107637	P51677
107638	P51679
107639	P51681
107640	P51684
107641	P32248
107642	P51685
107643	O00590
107644	Q99788
107645	Q15722
107658	Q14028
107659	P29973
107660	Q16280
107661	Q16281
107662	Q8IV77
107663	Q9H4B4
119124	Q9P2K5
117017	O75533
117012	Q8WWI5
117006	P49590
107668	P21554
107669	P34972
107670	P26441
107671	P26992
107672	Q12860
107675	P08123
116978	Q9UPY3
107678	P02461
107679	P02462
107681	P08572
119676	Q9UMX1
107684	P29400
107685	Q14031
107686	P20908
107687	P05997
107688	P12109
107690	P12111
107691	Q02388
107692	P27658
107693	P25067
107694	P20849
107695	Q14055
107696	Q14050
107697	Q03692
107698	P12107
107699	P13942
107700	Q99715
107701	Q5TAT6
107703	Q07092
107704	Q9UMD9
107705	Q14993
107706	P49747
108291	P23588
107709	P53621
107710	P53618
107711	Q99612
107712	O15431
107713	O15432
107718	O00230
107719	P41279
113552	Q9NYT6
107722	P10606
107730	P12074
107732	Q02221
107733	P14854
107739	P24310
107740	P14406
107742	P24311
107743	P15954
107744	P10176
107745	Q12887
121509	Q9HBL8
107748	P00450
107749	P15085
107750	P48052
107751	P15088
107752	P15086
107753	Q96IY4
107754	O75976
107755	P16870
107756	O14493
107757	O15551
107758	O95471
107760	P14384
107761	P15169
107762	P22792
107763	P36551
121504	Q9HCY8
107766	Q92523
121459	Q5MIZ7
107769	P17927
107770	Q2VPA4
107771	P20023
107772	P29762
107774	P43155
107776	P15336
121446	Q9P241
107778	Q99941
107779	O60519
121449	Q86SQ4
121455	Q9ULT0
119824	Q9HCP0
119815	Q9NRD9
107782	P06850
107783	P24387
107784	P34998
107785	Q13324
107786	P50238
107787	P52943
107788	P46108
107789	P46109
107790	Q14194
107791	P02741
107794	P10915
107796	O43186
107798	Q49AN0
107799	P02489
107801	P05813
107802	P53672
107803	P53673
107804	P53674
107805	P43320
107807	P26998
107808	P11844
107809	P07316
107810	P07315
107811	P07320
107814	P22914
107815	Q14894
118995	Q9UHY1
107818	O75390
119424	Q9NZ09
119410	Q9BZE1
119407	Q9P0P8
114054	P78406
107822	P09603
107823	P07333
107824	P04141
107825	P15509
107826	P32927
107827	P09919
107828	Q99062
107829	P0DML2
107829	P0DML3
107830	P0DML3
107831	Q14406
107833	P47710
107834	P05814
107835	P07498
107836	P48729
114049	O15294
107838	P49674
114029	Q13619
107841	P68400
114018	Q92698
107843	P67870
107844	P13611
107845	O14594
107846	Q6UVK1
107847	P21291
107848	Q16527
107851	P01037
107852	P09228
107853	P01034
107854	P01036
107855	P28325
107856	Q15828
107857	P01040
107858	P04080
113985	P78356
107861	Q12996
107864	P52952
107867	P78358
107868	Q01459
122289	Q2M296
107871	Q16619
107872	P29279
106963	Q9P2R6
107875	P16410
110642	Q99707
115899	O75525
107878	O60931
115897	Q15126
107881	O60716
115872	Q9H3M7
115868	Q9BUI4
115867	O15318
107883	P17812
107886	P40313
107889	P07339
107890	P14091
107891	P08311
107893	P43235
115859	O75477
107895	O60911
107899	P43234
107900	P25774
107901	P56202
107902	Q9UBR2
115852	P22234
107904	P49238
115828	P61916
107907	O15482
115825	Q99832
115821	O14531
115809	O15269
107916	P04839
107918	P35663
107919	Q14093
107924	P05177
107925	Q16678
107927	P11509
107928	P20853
107930	P24462
107931	Q16696
107933	P20813
107935	P33261
107936	P10632
107937	P11712
107938	P33260
107940	P10635
107944	P05181
107945	P24903
107946	P51589
107948	P08684
107949	P20815
107951	Q02928
107952	P13584
107953	P22680
107954	Q9UNU6
107955	P05108
107956	P15538
107957	P19099
107958	P05093
107960	P11511
107961	P08686
115770	Q9BQG0
107964	O43174
107965	Q02318
107966	O15528
107967	Q16850
107970	O75553
107971	P98082
107973	P61803
115759	O14795
107975	Q14118
107977	Q9Y6T7
107978	P49619
107979	P52824
107980	P14920
107981	P51397
107982	P53355
107983	O43293
107985	Q9UER7
107986	Q9NQZ3
107987	Q92904
107988	O60477
107989	P09172
107990	P07108
116749	Q9UKJ3
107996	Q10586
107997	P11182
108000	P42126
108001	P27707
108002	P07585
108004	P12821
108006	P40126
108007	Q14203
108008	O43602
108009	Q16531
108010	Q92466
108011	P20711
108014	P24522
108016	P35638
108017	P39656
108018	P30046
108019	Q92499
119496	Q9UJC3
108023	Q9Y485
108025	Q08211
108027	Q13206
119473	Q9BTA9
119442	Q9P107
108029	O43143
119435	Q9NZS9
108031	P59665
108032	P59666
108033	P12838
108034	Q01523
108035	Q01524
108036	P60022
108037	O15263
108038	P17661
108040	O00273
108042	O60220
108051	O43405
123752	Q5JVG2
108064	Q15392
108065	P00374
111061	P30559
111031	P41145
108071	P00387
108072	P15559
111497	P41236
108074	O60879
108077	P49895
108079	P55073
108080	O60832
115084	P50748
108082	P09622
115082	Q15020
115074	O94886
107265	Q9UQM7
115044	O15091
108086	P78352
108087	P36957
108089	P56177
108090	Q07687
108091	O60479
108092	Q92988
108094	P56179
108095	Q9UGM3
115035	O75164
115032	O94880
123661	Q8IYT4
108097	Q9UL12
115028	Q96H78
115020	Q9Y4F3
108100	Q09013
108101	Q9Y5R6
108102	Q09019
108106	Q8TE73
108108	Q96JB1
108109	Q9NYC9
108112	P24855
108113	P49184
108114	Q92874
108115	Q13609
108116	O00115
108117	Q14204
115006	Q8IWJ2
115003	O94851
108122	P50570
108124	O14717
114979	Q9BUZ4
108127	P04053
114957	Q15007
108130	Q8IZD9
108132	O77932
109346	P52789
108134	P16444
108378	Q15303
108137	P27487
108138	P42658
108139	Q07507
108379	P07992
108141	Q14117
108142	Q16555
108144	Q01658
108145	P40879
108146	P21728
108147	P14416
108148	P35462
108149	P21917
108150	P21918
108388	P50548
108155	Q13474
108156	P54259
108157	Q08554
108158	Q02487
108159	Q14574
108160	O60469
108161	P53805
108162	Q02413
108163	Q14126
108164	P32926
107276	P04632
108167	Q99645
108168	Q9NZW4
107268	Q13555
108170	Q9Y4J8
108171	O60941
108172	Q99075
108173	Q86Y01
110219	O75581
108175	O94769
108176	P28562
108178	P51452
108180	Q16690
108181	Q16828
108182	Q16829
108183	Q13202
108564	Q13642
119649	Q9Y394
115987	O43865
108193	O14656
108201	Q01094
108202	Q14209
108203	O00716
108206	Q16254
108207	Q15329
115984	Q9UGL1
115982	Q9UKX7
115973	Q13588
108209	Q66K89
108211	Q9UH73
115966	Q7Z5J4
108219	P19971
115950	Q9Y266
115948	O60502
108221	P30084
108222	Q16610
108224	Q92838
108225	P21453
108226	Q92633
108227	Q99500
108228	P05305
108229	P20800
108230	P14138
108231	P25101
108232	P24530
115926	Q9UL42
109996	P50053
110031	Q9BW19
108238	Q05639
108253	P24534
110034	P52294
110036	P52292
110037	O00505
108257	P26641
108258	P13639
110346	P15529
108262	P20827
108263	O43921
108264	P52797
108265	P52798
108266	P52803
108267	P98172
108269	Q15768
108270	P01133
108271	Q9NYQ7
108272	Q9HCU4
108273	O75095
108274	Q7Z7M0
108275	Q9H1U4
121218	Q9P0J7
108278	P18146
108279	P11161
108280	Q06889
108281	Q05215
108282	Q08426
108282	Q9NY65
108284	P47813
108285	P05198
108286	Q14232
108287	P41091
110811	P46934
108289	P60842
108290	Q14240
108293	Q13541
108294	Q13542
108296	Q04637
108297	P78344
108298	P55010
108299	P63241
108305	Q9UNI1
108306	P08246
106669	O95782
107131	Q12982
109196	O15217
107430	P30307
108309	Q15717
107434	P12830
107451	Q13634
108314	P78545
119637	Q9H2P9
108316	Q9UKW6
108317	P19419
108319	P41970
108320	P28324
108321	P15502
108324	O00423
108325	P50402
121429	Q9P1U1
108327	P54849
108328	P54851
108329	P54852
108330	Q14246
108331	Q04741
115507	O00148
115506	O75955
108333	Q04743
108334	Q05925
108335	P19622
124788	Q8N5B7
108337	P17813
108338	P06733
108340	P09104
108342	Q07075
108343	O43768
124763	Q5VTE6
108347	Q09472
116545	Q9Y2L5
116531	Q6ZNE5
116510	O94955
116500	O95757
108352	P16452
108353	Q08495
108354	P27105
108355	P21709
108356	P29320
121632	Q9P2D6
108360	P29322
120401	Q7Z3E2
108363	P54753
108365	O15197
108366	P07099
108368	P32856
108369	Q9UBY8
108370	P01588
108371	P19235
120775	Q9P2D1
108375	P10588
108376	P04626
108377	P21860
120664	Q9P1W8
121633	Q8TCU6
119724	Q96T23
108381	O14944
